episode,reward,rail length
246,-377.26032900059295,4
247,-220.81508458632646,7
248,-369.76032900059295,4
249,-313.84526422799524,5
250,-373.26032900059295,4
251,-379.76032900059295,4
252,-364.76032900059295,4
253,-372.26032900059295,4
254,-378.26032900059295,4
255,-378.26032900059295,4
256,-317.34526422799524,5
257,-375.76032900059295,4
258,-379.76032900059295,4
259,-382.76032900059295,4
260,-377.76032900059295,4
261,-381.76032900059295,4
262,-69.03729410291623,10
263,-390.26032900059295,4
264,-373.76032900059295,4
265,-367.76032900059295,4
266,-374.26032900059295,4
267,-435.0815238949143,3
268,-182.04223466203337,8
269,-384.26032900059295,4
270,-373.76032900059295,4
271,-380.26032900059295,4
272,-378.26032900059295,4
273,-378.26032900059295,4
274,-380.26032900059295,4
275,-369.76032900059295,4
276,-376.26032900059295,4
277,-385.26032900059295,4
278,-371.76032900059295,4
279,-328.34526422799524,5
280,-382.26032900059295,4
281,109.05494350754088,13
282,-370.76032900059295,4
283,-283.1306403446053,6
284,-382.26032900059295,4
285,-381.76032900059295,4
286,-381.76032900059295,4
287,-282.1306403446053,6
288,-114.92107717301701,9
289,-376.26032900059295,4
290,-375.76032900059295,4
291,-425.5815238949143,3
292,-439.0815238949143,3
293,-373.26032900059295,4
294,-382.76032900059295,4
295,-373.26032900059295,4
296,-168.04223466203337,8
297,-319.34526422799524,5
298,-379.26032900059295,4
299,-384.76032900059295,4
300,-383.76032900059295,4
301,-383.76032900059295,4
302,-380.76032900059295,4
303,-271.1306403446053,6
304,-286.1306403446053,6
305,-378.26032900059295,4
306,-378.26032900059295,4
307,-383.26032900059295,4
308,-374.26032900059295,4
309,-379.76032900059295,4
310,-384.76032900059295,4
311,-374.76032900059295,4
312,-374.76032900059295,4
313,-371.26032900059295,4
314,-388.26032900059295,4
315,-372.26032900059295,4
316,-381.76032900059295,4
317,-268.6306403446053,6
318,-376.26032900059295,4
319,-364.26032900059295,4
320,-280.1306403446053,6
321,-182.04223466203337,8
322,-380.26032900059295,4
323,-437.5815238949143,3
324,-374.76032900059295,4
325,-373.76032900059295,4
326,-381.76032900059295,4
327,-374.26032900059295,4
328,-370.76032900059295,4
329,-269.6306403446053,6
330,-373.26032900059295,4
331,-383.26032900059295,4
332,-382.76032900059295,4
333,-381.26032900059295,4
334,-423.0815238949143,3
335,-382.76032900059295,4
336,-376.76032900059295,4
337,-379.76032900059295,4
338,-376.26032900059295,4
339,-373.26032900059295,4
340,-384.76032900059295,4
341,-374.76032900059295,4
342,-380.76032900059295,4
343,-374.76032900059295,4
344,-381.76032900059295,4
345,-373.26032900059295,4
346,-376.26032900059295,4
347,-381.76032900059295,4
348,-280.6306403446053,6
349,-278.1306403446053,6
350,-375.26032900059295,4
351,-384.76032900059295,4
352,-267.1306403446053,6
353,-381.76032900059295,4
354,-381.26032900059295,4
355,-373.76032900059295,4
356,-322.34526422799524,5
357,-383.26032900059295,4
358,-314.34526422799524,5
359,-280.6306403446053,6
360,-331.34526422799524,5
361,4.5398883655775535,11
362,-383.76032900059295,4
363,-430.0815238949143,3
364,-183.04223466203337,8
365,-276.1306403446053,6
366,-386.26032900059295,4
367,-331.84526422799524,5
368,-385.26032900059295,4
369,-238.81508458632646,7
370,-116.92107717301701,9
371,-373.26032900059295,4
372,-378.26032900059295,4
373,-232.31508458632646,7
374,-103.92107717301701,9
375,-334.34526422799524,5
376,-377.26032900059295,4
377,-380.26032900059295,4
378,-379.26032900059295,4
379,-365.76032900059295,4
380,-376.26032900059295,4
381,-382.76032900059295,4
382,-424.0815238949143,3
383,-382.26032900059295,4
384,-382.76032900059295,4
385,-374.76032900059295,4
386,-275.1306403446053,6
387,-363.26032900059295,4
388,-421.5815238949143,3
389,-385.26032900059295,4
390,-378.76032900059295,4
391,-245.81508458632646,7
392,-321.34526422799524,5
393,-386.76032900059295,4
394,-373.26032900059295,4
395,-281.6306403446053,6
396,-332.84526422799524,5
397,-371.26032900059295,4
398,-70.03729410291623,10
399,-380.26032900059295,4
400,-328.84526422799524,5
401,-379.76032900059295,4
402,-376.26032900059295,4
403,-370.76032900059295,4
404,-237.31508458632646,7
405,-243.31508458632646,7
406,-382.76032900059295,4
407,-277.6306403446053,6
408,-375.76032900059295,4
409,-369.26032900059295,4
410,-377.76032900059295,4
411,-377.26032900059295,4
412,-377.76032900059295,4
413,-378.76032900059295,4
414,-429.0815238949143,3
415,-371.76032900059295,4
416,-336.34526422799524,5
417,-387.76032900059295,4
418,-375.76032900059295,4
419,-377.26032900059295,4
420,-335.34526422799524,5
421,-381.76032900059295,4
422,-369.76032900059295,4
423,-438.0815238949143,3
424,-181.54223466203337,8
425,-234.81508458632646,7
426,-431.0815238949143,3
427,-374.26032900059295,4
428,-230.81508458632646,7
429,-468.8226537463707,2
430,-390.26032900059295,4
431,-378.76032900059295,4
432,-373.26032900059295,4
433,-382.76032900059295,4
434,-379.26032900059295,4
435,-100.92107717301701,9
436,-375.26032900059295,4
437,-330.84526422799524,5
438,-378.26032900059295,4
439,-366.76032900059295,4
440,-332.34526422799524,5
441,-239.31508458632646,7
442,-223.31508458632646,7
443,-165.04223466203337,8
444,-175.54223466203337,8
445,-392.26032900059295,4
446,-281.6306403446053,6
447,-377.26032900059295,4
448,-399.76032900059295,4
449,-421.5815238949143,3
450,-225.31508458632646,7
451,-366.76032900059295,4
452,-318.34526422799524,5
453,-378.26032900059295,4
454,-384.76032900059295,4
455,-379.26032900059295,4
456,-375.26032900059295,4
457,-384.26032900059295,4
458,-332.84526422799524,5
459,-381.26032900059295,4
460,-378.76032900059295,4
461,-377.26032900059295,4
462,-294.6306403446053,6
463,-383.76032900059295,4
464,-381.26032900059295,4
465,-386.76032900059295,4
466,-337.34526422799524,5
467,-324.84526422799524,5
468,-291.1306403446053,6
469,-384.76032900059295,4
470,-335.34526422799524,5
471,-375.26032900059295,4
472,-366.76032900059295,4
473,-376.26032900059295,4
474,-279.1306403446053,6
475,-381.26032900059295,4
476,-281.1306403446053,6
477,-377.76032900059295,4
478,-375.26032900059295,4
479,-379.76032900059295,4
480,-373.76032900059295,4
481,-336.34526422799524,5
482,-384.26032900059295,4
483,-322.84526422799524,5
484,-388.76032900059295,4
485,-378.26032900059295,4
486,-380.26032900059295,4
487,-372.76032900059295,4
488,-424.5815238949143,3
489,-429.5815238949143,3
490,-379.26032900059295,4
491,-179.04223466203337,8
492,-282.6306403446053,6
493,-425.0815238949143,3
494,-385.76032900059295,4
495,-271.6306403446053,6
496,-387.26032900059295,4
497,-15.960111634422447,11
498,-109.42107717301701,9
499,-367.76032900059295,4
500,-365.76032900059295,4
501,-379.26032900059295,4
502,-380.76032900059295,4
503,-327.84526422799524,5
504,-375.26032900059295,4
505,-368.76032900059295,4
506,-328.84526422799524,5
507,-317.84526422799524,5
508,-172.04223466203337,8
509,-381.76032900059295,4
510,-169.04223466203337,8
511,-324.34526422799524,5
512,-326.84526422799524,5
513,-324.34526422799524,5
514,-317.84526422799524,5
515,-280.1306403446053,6
516,-384.26032900059295,4
517,-370.26032900059295,4
518,-380.76032900059295,4
519,-372.76032900059295,4
520,-155.54223466203337,8
521,-224.81508458632646,7
522,-331.84526422799524,5
523,-383.76032900059295,4
524,-381.26032900059295,4
525,-128.421077173017,9
526,-219.31508458632646,7
527,-375.76032900059295,4
528,-340.34526422799524,5
529,-103.92107717301701,9
530,-371.26032900059295,4
531,-377.26032900059295,4
532,-380.76032900059295,4
533,-124.92107717301701,9
534,-9.960111634422447,11
535,-189.04223466203337,8
536,-280.6306403446053,6
537,-378.76032900059295,4
538,-373.26032900059295,4
539,-329.34526422799524,5
540,-324.34526422799524,5
541,-243.31508458632646,7
542,-370.26032900059295,4
543,-374.76032900059295,4
544,-286.1306403446053,6
545,-269.1306403446053,6
546,-369.76032900059295,4
547,-387.26032900059295,4
548,-375.26032900059295,4
549,-383.76032900059295,4
550,-321.34526422799524,5
551,-278.1306403446053,6
552,-370.26032900059295,4
553,-272.1306403446053,6
554,-231.81508458632646,7
555,-380.76032900059295,4
556,-377.76032900059295,4
557,-380.76032900059295,4
558,-381.26032900059295,4
559,-377.76032900059295,4
560,-1.9601116344224465,11
561,-376.76032900059295,4
562,-377.76032900059295,4
563,-384.76032900059295,4
564,-8.960111634422447,11
565,-331.34526422799524,5
566,-429.0815238949143,3
567,-382.76032900059295,4
568,-374.76032900059295,4
569,-381.76032900059295,4
570,-377.76032900059295,4
571,-374.26032900059295,4
572,-187.54223466203337,8
573,-120.42107717301701,9
574,-284.6306403446053,6
575,-378.76032900059295,4
576,-372.26032900059295,4
577,-383.26032900059295,4
578,-375.26032900059295,4
579,-321.84526422799524,5
580,-112.92107717301701,9
581,-329.84526422799524,5
582,-317.84526422799524,5
583,-324.34526422799524,5
584,-7.4601116344224465,11
585,-374.76032900059295,4
586,-60.037294102916235,10
587,-169.54223466203337,8
588,-334.84526422799524,5
589,-336.34526422799524,5
590,-371.76032900059295,4
591,-383.76032900059295,4
592,-129.421077173017,9
593,-379.26032900059295,4
594,-233.31508458632646,7
595,-382.26032900059295,4
596,-327.34526422799524,5
597,-129.421077173017,9
598,-214.81508458632646,7
599,-375.26032900059295,4
600,-171.54223466203337,8
601,-442.0815238949143,3
602,-281.6306403446053,6
603,-169.04223466203337,8
604,-382.76032900059295,4
605,-369.26032900059295,4
606,-237.81508458632646,7
607,-437.5815238949143,3
608,-424.5815238949143,3
609,-382.26032900059295,4
610,-299.6306403446053,6
611,-135.421077173017,9
612,-370.26032900059295,4
613,-370.76032900059295,4
614,-373.26032900059295,4
615,-380.26032900059295,4
616,-377.76032900059295,4
617,-377.26032900059295,4
618,-237.81508458632646,7
619,-389.26032900059295,4
620,-339.34526422799524,5
621,-434.5815238949143,3
622,-375.26032900059295,4
623,-378.76032900059295,4
624,-347.84526422799524,5
625,-369.26032900059295,4
626,-367.26032900059295,4
627,-372.26032900059295,4
628,-383.26032900059295,4
629,-171.54223466203337,8
630,-224.81508458632646,7
631,-84.03729410291623,10
632,-338.34526422799524,5
633,-379.26032900059295,4
634,-332.34526422799524,5
635,-323.84526422799524,5
636,-423.5815238949143,3
637,-368.26032900059295,4
638,-371.76032900059295,4
639,-371.26032900059295,4
640,-367.26032900059295,4
641,-384.26032900059295,4
642,-370.26032900059295,4
643,-329.34526422799524,5
644,-434.0815238949143,3
645,-436.5815238949143,3
646,-377.26032900059295,4
647,-385.76032900059295,4
648,-339.34526422799524,5
649,-379.76032900059295,4
650,-373.76032900059295,4
651,-230.81508458632646,7
652,-377.26032900059295,4
653,-283.6306403446053,6
654,-372.76032900059295,4
655,-372.76032900059295,4
656,41.253312392089356,12
657,-372.26032900059295,4
658,-379.76032900059295,4
659,-387.76032900059295,4
660,-376.76032900059295,4
661,-235.81508458632646,7
662,60.253312392089356,12
663,-380.26032900059295,4
664,-374.76032900059295,4
665,-383.76032900059295,4
666,-169.04223466203337,8
667,-377.76032900059295,4
668,-385.26032900059295,4
669,-380.76032900059295,4
670,-374.26032900059295,4
671,-324.34526422799524,5
672,-279.6306403446053,6
673,-287.1306403446053,6
674,-369.76032900059295,4
675,-393.26032900059295,4
676,-133.421077173017,9
677,-366.76032900059295,4
678,-371.76032900059295,4
679,-368.26032900059295,4
680,-322.34526422799524,5
681,-390.26032900059295,4
682,-377.26032900059295,4
683,-367.26032900059295,4
684,-367.26032900059295,4
685,-47.037294102916235,10
686,-286.1306403446053,6
687,-370.26032900059295,4
688,-370.26032900059295,4
689,-119.92107717301701,9
690,-236.81508458632646,7
691,-362.26032900059295,4
692,-332.84526422799524,5
693,-379.76032900059295,4
694,-285.1306403446053,6
695,-328.34526422799524,5
696,-381.26032900059295,4
697,-47.537294102916235,10
698,-366.26032900059295,4
699,-335.34526422799524,5
700,-373.26032900059295,4
701,-389.76032900059295,4
702,-314.84526422799524,5
703,-380.26032900059295,4
704,-372.76032900059295,4
705,-366.26032900059295,4
706,-373.26032900059295,4
707,-371.76032900059295,4
708,-380.76032900059295,4
709,-369.26032900059295,4
710,-183.04223466203337,8
711,-371.26032900059295,4
712,-328.84526422799524,5
713,-372.26032900059295,4
714,-113.42107717301701,9
715,97.05494350754088,13
716,-372.76032900059295,4
717,-378.76032900059295,4
718,-384.26032900059295,4
719,-174.04223466203337,8
720,-273.1306403446053,6
721,-373.76032900059295,4
722,-233.81508458632646,7
723,-123.92107717301701,9
