episode,reward,rail length,game win
465,1827.3310613518665,8,False
466,1552.3310613518665,8,False
467,2529.815691307932,9,False
468,-763.5413160023719,4,False
469,772.9774386215788,6,False
470,-703.5413160023719,4,False
471,-758.5413160023719,4,False
472,-388.5413160023719,4,False
473,-748.5413160023719,4,False
474,1768.239661654694,7,False
475,-788.5413160023719,4,False
476,3375.350823588335,10,False
477,-287.881056911981,5,False
478,2079.815691307932,9,False
479,1704.815691307932,9,False
480,1979.815691307932,9,False
481,3470.3508235883346,10,False
482,-683.5413160023719,4,False
483,-708.5413160023719,4,False
484,-708.5413160023719,4,False
485,-773.5413160023719,4,False
486,2224.815691307932,9,False
487,-272.881056911981,5,False
488,972.9774386215787,6,False
489,1967.3310613518665,8,False
490,1097.9774386215788,6,False
491,-558.5413160023719,4,False
492,-758.5413160023719,4,False
493,-763.5413160023719,4,False
494,2210.350823588335,10,False
495,2292.331061351866,8,False
496,-453.5413160023719,4,False
497,1679.815691307932,9,False
498,237.9774386215788,6,False
499,5042.7197740301635,13,False
500,-728.5413160023719,4,False
501,4474.513249568357,12,False
502,2509.815691307932,9,False
503,1447.3310613518665,8,False
504,1887.3310613518665,8,False
505,-783.5413160023719,4,False
506,2240.350823588335,10,False
507,932.9774386215788,6,False
508,3395.3508235883346,10,False
509,1994.815691307932,9,False
510,1317.3310613518665,8,False
511,3545.3508235883346,10,False
512,177.11894308801902,5,False
513,-1518.5413160023718,4,False
514,2377.3310613518665,8,False
515,3369.815691307932,9,False
516,2640.3508235883346,10,False
517,1977.3310613518665,8,False
518,177.11894308801902,5,False
519,-703.5413160023719,4,False
520,2335.350823588335,10,False
521,197.9774386215788,6,False
522,2604.815691307932,9,False
523,3690.3508235883346,10,False
524,4684.513249568357,12,False
525,1812.3310613518665,8,False
526,1072.9774386215788,6,False
527,827.9774386215788,6,False
528,1462.3310613518665,8,False
529,2043.239661654694,7,False
530,3768.65955346231,11,False
531,-643.5413160023719,4,False
532,2300.350823588335,10,False
533,2250.350823588335,10,False
534,1974.815691307932,9,False
535,1357.3310613518665,8,False
536,2740.350823588335,10,False
537,2305.350823588335,10,False
538,513.2396616546941,7,False
539,2029.815691307932,9,False
540,827.9774386215788,6,False
541,-733.5413160023719,4,False
542,1887.3310613518665,8,False
543,1233.239661654694,7,False
544,1792.3310613518665,8,False
545,1532.3310613518665,8,False
546,1483.239661654694,7,False
547,1637.3310613518665,8,False
548,1198.239661654694,7,False
549,-97.88105691198098,5,False
550,2144.815691307932,9,False
551,-703.5413160023719,4,False
552,-393.5413160023719,4,False
553,1593.239661654694,7,False
554,-758.5413160023719,4,False
555,-728.5413160023719,4,False
556,2134.815691307932,9,False
557,-798.5413160023719,4,False
558,122.11894308801902,5,False
559,3400.3508235883346,10,False
560,3335.3508235883346,10,False
561,2042.3310613518665,8,False
562,2402.331061351866,8,False
563,3284.815691307932,9,False
564,1747.3310613518665,8,False
565,3365.3508235883346,10,False
566,1970.350823588335,10,False
567,-377.881056911981,5,False
568,-718.5413160023719,4,False
569,2669.815691307932,9,False
570,247.11894308801902,5,False
